,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes
8514,El Salvador,Maize,2005,29434,1784,1922.78
8515,El Salvador,Plantains and others,2005,312125,1784,1922.78
8516,El Salvador,Potatoes,2005,221220,1784,1922.78
8517,El Salvador,"Rice, paddy",2005,72118,1784,1922.78
8518,El Salvador,Sorghum,2005,15859,1784,1922.78
8519,El Salvador,Soybeans,2005,20768,1784,1922.78
8520,El Salvador,Sweet potatoes,2005,62409,1784,1922.78
8521,El Salvador,Cassava,2006,125016,1784,2265.72
8522,El Salvador,Maize,2006,30794,1784,2265.72
8523,El Salvador,Plantains and others,2006,311678,1784,2265.72
8524,El Salvador,Potatoes,2006,220517,1784,2265.72
8525,El Salvador,"Rice, paddy",2006,73941,1784,2265.72
8526,El Salvador,Sorghum,2006,18397,1784,2265.72
8527,El Salvador,Soybeans,2006,20383,1784,2265.72
8528,El Salvador,Sweet potatoes,2006,62251,1784,2265.72
8529,El Salvador,Cassava,2007,128870,1784,1940.78
8530,El Salvador,Maize,2007,29107,1784,1940.78
8531,El Salvador,Plantains and others,2007,311711,1784,1940.78
8532,El Salvador,Potatoes,2007,218481,1784,1940.78
8533,El Salvador,"Rice, paddy",2007,74651,1784,1940.78
8534,El Salvador,Sorghum,2007,15307,1784,1940.78
8535,El Salvador,Soybeans,2007,19348,1784,1940.78
8536,El Salvador,Sweet potatoes,2007,63889,1784,1940.78
8537,El Salvador,Cassava,2008,128900,1784,3899.48
8538,El Salvador,Maize,2008,33895,1784,3899.48
8539,El Salvador,Plantains and others,2008,311771,1784,3899.48
8540,El Salvador,Potatoes,2008,218555,1784,3899.48
8541,El Salvador,"Rice, paddy",2008,79373,1784,3899.48
8542,El Salvador,Sorghum,2008,13899,1784,3899.48
8543,El Salvador,Soybeans,2008,19279,1784,3899.48
8544,El Salvador,Sweet potatoes,2008,61614,1784,3899.48
8545,El Salvador,Cassava,2009,125022,1784,3333.88
8546,El Salvador,Maize,2009,30041,1784,3333.88
8547,El Salvador,Plantains and others,2009,312073,1784,3333.88
8548,El Salvador,Potatoes,2009,252417,1784,3333.88
8549,El Salvador,"Rice, paddy",2009,69016,1784,3333.88
8550,El Salvador,Sorghum,2009,17133,1784,3333.88
8551,El Salvador,Soybeans,2009,19172,1784,3333.88
8552,El Salvador,Sweet potatoes,2009,61191,1784,3333.88
8553,El Salvador,Cassava,2010,124843,1784,3598.59
8554,El Salvador,Maize,2010,30253,1784,3598.59
8555,El Salvador,Plantains and others,2010,221778,1784,3598.59
8556,El Salvador,Potatoes,2010,252796,1784,3598.59
8557,El Salvador,"Rice, paddy",2010,70136,1784,3598.59
8558,El Salvador,Sorghum,2010,17201,1784,3598.59
8559,El Salvador,Soybeans,2010,18000,1784,3598.59
8560,El Salvador,Sweet potatoes,2010,60767,1784,3598.59
8561,El Salvador,Cassava,2011,145719,1784,3231.13
8562,El Salvador,Maize,2011,28181,1784,3231.13
8563,El Salvador,Plantains and others,2011,111171,1784,3231.13
8564,El Salvador,Potatoes,2011,196316,1784,3231.13
8565,El Salvador,"Rice, paddy",2011,54783,1784,3231.13
8566,El Salvador,Sorghum,2011,14534,1784,3231.13
8567,El Salvador,Soybeans,2011,19222,1784,3231.13
8568,El Salvador,Sweet potatoes,2011,60343,1784,3231.13
8569,El Salvador,Cassava,2012,115775,1784,2595.16
8570,El Salvador,Maize,2012,32580,1784,2595.16
8571,El Salvador,Plantains and others,2012,143831,1784,2595.16
8572,El Salvador,Potatoes,2012,295706,1784,2595.16
8573,El Salvador,"Rice, paddy",2012,63968,1784,2595.16
8574,El Salvador,Sorghum,2012,13204,1784,2595.16
8575,El Salvador,Soybeans,2012,19231,1784,2595.16
8576,El Salvador,Sweet potatoes,2012,58333,1784,2595.16
8577,El Salvador,Cassava,2013,154928,1784,6005.08
8578,El Salvador,Maize,2013,29461,1784,6005.08
8579,El Salvador,Plantains and others,2013,153680,1784,6005.08
8580,El Salvador,Potatoes,2013,426047,1784,6005.08
8581,El Salvador,"Rice, paddy",2013,61615,1784,6005.08
8582,El Salvador,Sorghum,2013,16633,1784,6005.08
8583,El Salvador,Soybeans,2013,19231,1784,6005.08
8584,El Salvador,Sweet potatoes,2013,58333,1784,6005.08
8585,Eritrea,Maize,1993,2308,383,4.44
8586,Eritrea,Potatoes,1993,82000,383,4.44
8587,Eritrea,Sorghum,1993,3197,383,4.44
8588,Eritrea,Wheat,1993,2038,383,4.44
8589,Eritrea,Maize,1994,7689,383,4.44
8590,Eritrea,Potatoes,1994,80659,383,4.44
8591,Eritrea,Sorghum,1994,9028,383,4.44
8592,Eritrea,Wheat,1994,7449,383,4.44
8593,Eritrea,Maize,1995,3366,383,4.44
8594,Eritrea,Potatoes,1995,79816,383,4.44
8595,Eritrea,Sorghum,1995,4820,383,4.44
8596,Eritrea,Wheat,1995,5124,383,4.44
8597,Eritrea,Maize,1996,3974,383,4.44
8598,Eritrea,Potatoes,1996,79592,383,4.44
8599,Eritrea,Sorghum,1996,2463,383,4.44
8600,Eritrea,Wheat,1996,3665,383,4.44
8601,Eritrea,Maize,1997,2495,383,30.92
8602,Eritrea,Potatoes,1997,80769,383,30.92
8603,Eritrea,Sorghum,1997,2850,383,30.92
8604,Eritrea,Wheat,1997,3434,383,30.92
8605,Eritrea,Maize,1998,7532,383,19.61
8606,Eritrea,Potatoes,1998,83333,383,19.61
8607,Eritrea,Sorghum,1998,11420,383,19.61
8608,Eritrea,Wheat,1998,9552,383,19.61
8609,Eritrea,Maize,1999,7920,383,22.28
8610,Eritrea,Potatoes,1999,80000,383,22.28
8611,Eritrea,Sorghum,1999,8766,383,22.28
8612,Eritrea,Wheat,1999,7700,383,22.28
8613,Eritrea,Maize,2000,2358,383,24.96
8614,Eritrea,Potatoes,2000,70012,383,24.96
8615,Eritrea,Sorghum,2000,4118,383,24.96
8616,Eritrea,Wheat,2000,5943,383,24.96
8617,Eritrea,Maize,2001,7851,383,27.63
8618,Eritrea,Potatoes,2001,58050,383,27.63
8619,Eritrea,Sorghum,2001,4750,383,27.63
8620,Eritrea,Wheat,2001,11658,383,27.63
8621,Eritrea,Maize,2002,2076,383,27.63
8622,Eritrea,Potatoes,2002,61120,383,27.63
8623,Eritrea,Sorghum,2002,1562,383,27.63
8624,Eritrea,Wheat,2002,1706,383,27.63
8625,Eritrea,Maize,2004,2409,383,27.63
8626,Eritrea,Potatoes,2004,64000,383,27.63
8627,Eritrea,Sorghum,2004,2680,383,27.63
8628,Eritrea,Wheat,2004,2980,383,27.63
8629,Eritrea,Maize,2005,4906,383,27.63
8630,Eritrea,Potatoes,2005,79311,383,27.63
8631,Eritrea,Sorghum,2005,7907,383,27.63
8632,Eritrea,Wheat,2005,11565,383,27.63
8633,Eritrea,Maize,2006,9755,383,27.63
8634,Eritrea,Potatoes,2006,78493,383,27.63
8635,Eritrea,Sorghum,2006,7928,383,27.63
8636,Eritrea,Wheat,2006,11604,383,27.63
8637,Eritrea,Maize,2007,8321,383,27.63
8638,Eritrea,Potatoes,2007,24508,383,27.63
8639,Eritrea,Sorghum,2007,10693,383,27.63
8640,Eritrea,Wheat,2007,8395,383,27.63
8641,Eritrea,Maize,2008,2123,383,27.63
8642,Eritrea,Potatoes,2008,8406,383,27.63
8643,Eritrea,Sorghum,2008,2727,383,27.63
8644,Eritrea,Wheat,2008,3307,383,27.63
8645,Eritrea,Maize,2009,8689,383,27.63
8646,Eritrea,Potatoes,2009,12000,383,27.63
8647,Eritrea,Sorghum,2009,2358,383,27.63
8648,Eritrea,Wheat,2009,10706,383,27.63
8649,Eritrea,Maize,2010,9000,383,27.63
8650,Eritrea,Potatoes,2010,15729,383,27.63
8651,Eritrea,Sorghum,2010,1320,383,27.63
8652,Eritrea,Wheat,2010,11786,383,27.63
8653,Eritrea,Maize,2011,9524,383,27.63
8654,Eritrea,Potatoes,2011,18180,383,27.63
8655,Eritrea,Sorghum,2011,1124,383,27.63
8656,Eritrea,Wheat,2011,11154,383,27.63
8657,Eritrea,Maize,2012,10476,383,27.63
8658,Eritrea,Potatoes,2012,14209,383,27.63
8659,Eritrea,Sorghum,2012,1269,383,27.63
8660,Eritrea,Wheat,2012,12692,383,27.63
8661,Eritrea,Maize,2013,10000,383,27.63
8662,Eritrea,Potatoes,2013,12819,383,27.63
8663,Eritrea,Sorghum,2013,1200,383,27.63
8664,Eritrea,Wheat,2013,12000,383,27.63
8665,Estonia,Potatoes,1992,144514,626,469
8666,Estonia,Wheat,1992,20562,626,469
8667,Estonia,Potatoes,1993,126432,626,170
8668,Estonia,Wheat,1993,20994,626,170
8669,Estonia,Potatoes,1994,140959,626,176
8670,Estonia,Wheat,1994,16686,626,176
8671,Estonia,Potatoes,1995,145590,626,154
8672,Estonia,Wheat,1995,19974,626,154
8673,Estonia,Potatoes,1996,141758,626,133
8674,Estonia,Wheat,1996,22046,626,133
8675,Estonia,Potatoes,1997,124153,626,200
8676,Estonia,Wheat,1997,21850,626,200
8677,Estonia,Potatoes,1998,97147,626,195
8678,Estonia,Wheat,1998,17666,626,195
8679,Estonia,Potatoes,1999,129807,626,187
8680,Estonia,Wheat,1999,13377,626,187
8681,Estonia,Potatoes,2000,152654,626,315
8682,Estonia,Wheat,2000,21285,626,315
8683,Estonia,Potatoes,2001,155249,626,329
8684,Estonia,Wheat,2001,22302,626,329
8685,Estonia,Potatoes,2002,131599,626,331
8686,Estonia,Wheat,2002,23025,626,331
8687,Estonia,Potatoes,2004,103416,626,351
8688,Estonia,Wheat,2004,25083,626,351
8689,Estonia,Potatoes,2005,150277,626,386
8690,Estonia,Wheat,2005,30818,626,386
8691,Estonia,Potatoes,2006,132608,626,452
8692,Estonia,Wheat,2006,24173,626,452
8693,Estonia,Potatoes,2007,171977,626,460
8694,Estonia,Wheat,2007,34746,626,460
8695,Estonia,Potatoes,2008,142273,626,551
8696,Estonia,Wheat,2008,31831,626,551
8697,Estonia,Potatoes,2009,152752,626,402
8698,Estonia,Wheat,2009,30146,626,402
8699,Estonia,Potatoes,2010,174562,626,514
8700,Estonia,Wheat,2010,27440,626,514
8701,Estonia,Potatoes,2011,178361,626,460
8702,Estonia,Wheat,2011,28065,626,460
8703,Estonia,Potatoes,2012,182175,626,553
8704,Estonia,Wheat,2012,38994,626,553
8705,Estonia,Potatoes,2013,193558,626,567
8706,Estonia,Wheat,2013,32754,626,567
8707,Finland,Potatoes,1990,214976,536,2001
8708,Finland,Wheat,1990,34847,536,2001
8709,Finland,Potatoes,1991,185663,536,1738
8710,Finland,Wheat,1991,36391,536,1738
8711,Finland,Potatoes,1992,192894,536,1372
8712,Finland,Wheat,1992,24152,536,1372
8713,Finland,Potatoes,1993,213516,536,1200
8714,Finland,Wheat,1993,36212,536,1200
8715,Finland,Potatoes,1994,198795,536,1247
8716,Finland,Wheat,1994,37953,536,1247
8717,Finland,Potatoes,1995,221053,536,1041
8718,Finland,Wheat,1995,37686,536,1041
8719,Finland,Potatoes,1996,220029,536,909
8720,Finland,Wheat,1996,40827,536,909
8721,Finland,Potatoes,1997,227139,536,999
8722,Finland,Wheat,1997,37188,536,999
8723,Finland,Potatoes,1998,180091,536,1164
8724,Finland,Wheat,1998,28929,536,1164
8725,Finland,Potatoes,1999,244923,536,1139
8726,Finland,Wheat,1999,21589,536,1139
8727,Finland,Potatoes,2000,243851,536,1147.48
8728,Finland,Wheat,2000,36007,536,1147.48
8729,Finland,Potatoes,2001,244267,536,1423.27
8730,Finland,Wheat,2001,33811,536,1423.27
8731,Finland,Potatoes,2002,261779,536,1620.36
8732,Finland,Wheat,2002,32585,536,1620.36
8733,Finland,Potatoes,2004,226886,536,1489.12
8734,Finland,Wheat,2004,34738,536,1489.12
8735,Finland,Potatoes,2005,256990,536,1431.04
8736,Finland,Wheat,2005,37304,536,1431.04
8737,Finland,Potatoes,2006,205607,536,1645.3
8738,Finland,Wheat,2006,35575,536,1645.3
8739,Finland,Potatoes,2007,256996,536,1479.45
8740,Finland,Wheat,2007,39329,536,1479.45
8741,Finland,Potatoes,2008,261221,536,1621.86
8742,Finland,Wheat,2008,36408,536,1621.86
8743,Finland,Potatoes,2009,286098,536,1693.8
8744,Finland,Wheat,2009,41027,536,1693.8
8745,Finland,Potatoes,2010,261548,536,1746.71
8746,Finland,Wheat,2010,34299,536,1746.71
8747,Finland,Potatoes,2011,275943,536,1707.54
8748,Finland,Wheat,2011,38469,536,1707.54
8749,Finland,Potatoes,2012,236522,536,1545.25
8750,Finland,Wheat,2012,39028,536,1545.25
8751,Finland,Potatoes,2013,281312,536,1475.39
8752,Finland,Wheat,2013,38215,536,1475.39
8753,France,Maize,1990,60186,867,97701
8754,France,Potatoes,1990,290790,867,97701
8755,France,"Rice, paddy",1990,59461,867,97701
8756,France,Sorghum,1990,41296,867,97701
8757,France,Soybeans,1990,20940,867,97701
8758,France,Wheat,1990,64787,867,97701
8759,France,Maize,1991,72866,867,103434
8760,France,Potatoes,1991,321625,867,103434
8761,France,"Rice, paddy",1991,53273,867,103434
8762,France,Sorghum,1991,54849,867,103434
8763,France,Soybeans,1991,24308,867,103434
8764,France,Wheat,1991,66764,867,103434
8765,France,Maize,1992,79812,867,85249
8766,France,Potatoes,1992,365434,867,85249
8767,France,"Rice, paddy",1992,52448,867,85249
8768,France,Sorghum,1992,56007,867,85249
8769,France,Soybeans,1992,17425,867,85249
8770,France,Wheat,1992,63992,867,85249
8771,France,Maize,1993,80479,867,91953
8772,France,Potatoes,1993,360076,867,91953
8773,France,"Rice, paddy",1993,49628,867,91953
8774,France,Sorghum,1993,61242,867,91953
8775,France,Soybeans,1993,24636,867,91953
8776,France,Wheat,1993,64739,867,91953
8777,France,Maize,1994,77983,867,89515
8778,France,Potatoes,1994,335302,867,89515
8779,France,"Rice, paddy",1994,45700,867,89515
8780,France,Sorghum,1994,55026,867,89515
8781,France,Soybeans,1994,25978,867,89515
8782,France,Wheat,1994,66685,867,89515
8783,France,Maize,1995,77182,867,84011
8784,France,Potatoes,1995,347354,867,84011
8785,France,"Rice, paddy",1995,48627,867,84011
8786,France,Sorghum,1995,55990,867,84011
8787,France,Soybeans,1995,25723,867,84011
8788,France,Wheat,1995,65079,867,84011
8789,France,Maize,1996,83856,867,97890
8790,France,Potatoes,1996,361751,867,97890
8791,France,"Rice, paddy",1996,52455,867,97890
8792,France,Sorghum,1996,62667,867,97890
8793,France,Soybeans,1996,26717,867,97890
8794,France,Wheat,1996,71361,867,97890
8795,France,Maize,1997,90651,867,109792
8796,France,Potatoes,1997,397848,867,109792
8797,France,"Rice, paddy",1997,58919,867,109792
8798,France,Sorghum,1997,66645,867,109792
8799,France,Soybeans,1997,27641,867,109792
8800,France,Wheat,1997,66288,867,109792
8801,France,Maize,1998,84528,867,107753
8802,France,Potatoes,1998,373559,867,107753
8803,France,"Rice, paddy",1998,58281,867,107753
8804,France,Sorghum,1998,55734,867,107753
8805,France,Soybeans,1998,25506,867,107753
8806,France,Wheat,1998,76063,867,107753
8807,France,Maize,1999,89523,867,114695
8808,France,Potatoes,1999,397361,867,114695
8809,France,"Rice, paddy",1999,60915,867,114695
8810,France,Sorghum,1999,62061,867,114695
8811,France,Soybeans,1999,26622,867,114695
8812,France,Wheat,1999,72395,867,114695
8813,France,Maize,2000,90766,867,97878
8814,France,Potatoes,2000,395987,867,97878
8815,France,"Rice, paddy",2000,58358,867,97878
8816,France,Sorghum,2000,62275,867,97878
8817,France,Soybeans,2000,25875,867,97878
8818,France,Wheat,2000,71175,867,97878
8819,France,Maize,2001,85711,867,99694
8820,France,Potatoes,2001,374385,867,99694
8821,France,"Rice, paddy",2001,53603,867,99694
8822,France,Sorghum,2001,58761,867,99694
8823,France,Soybeans,2001,25617,867,99694
8824,France,Wheat,2001,66169,867,99694
8825,France,Maize,2002,89751,867,82448
8826,France,Potatoes,2002,423804,867,82448
8827,France,"Rice, paddy",2002,56910,867,82448
8828,France,Sorghum,2002,64431,867,82448
8829,France,Soybeans,2002,27899,867,82448
8830,France,Wheat,2002,74455,867,82448
8831,France,Maize,2004,89907,867,76099
8832,France,Potatoes,2004,454162,867,76099
8833,France,"Rice, paddy",2004,57098,867,76099
8834,France,Sorghum,2004,53484,867,76099
8835,France,Soybeans,2004,25104,867,76099
8836,France,Wheat,2004,75788,867,76099
8837,France,Maize,2005,82539,867,78265
8838,France,Potatoes,2005,422227,867,78265
8839,France,"Rice, paddy",2005,57314,867,78265
8840,France,Sorghum,2005,51495,867,78265
8841,France,Soybeans,2005,24837,867,78265
8842,France,Wheat,2005,69887,867,78265
8843,France,Maize,2006,85818,867,71612
8844,France,Potatoes,2006,401909,867,71612
8845,France,"Rice, paddy",2006,54756,867,71612
8846,France,Sorghum,2006,55127,867,71612
8847,France,Soybeans,2006,27173,867,71612
8848,France,Wheat,2006,67414,867,71612
8849,France,Maize,2007,94821,867,77255
8850,France,Potatoes,2007,453347,867,77255
8851,France,"Rice, paddy",2007,46354,867,77255
8852,France,Sorghum,2007,58655,867,77255
8853,France,Soybeans,2007,25991,867,77255
8854,France,Wheat,2007,62542,867,77255
8855,France,Maize,2008,91258,867,78577
8856,France,Potatoes,2008,435194,867,78577
8857,France,"Rice, paddy",2008,57599,867,78577
8858,France,Sorghum,2008,62159,867,78577
8859,France,Soybeans,2008,28986,867,78577
8860,France,Wheat,2008,71018,867,78577
8861,France,Maize,2009,88934,867,63676
8862,France,Potatoes,2009,437856,867,63676
8863,France,"Rice, paddy",2009,57406,867,63676
8864,France,Sorghum,2009,53928,867,63676
8865,France,Soybeans,2009,25109,867,63676
8866,France,Wheat,2009,74478,867,63676
8867,France,Maize,2010,88299,867,61903
8868,France,Potatoes,2010,421566,867,61903
8869,France,"Rice, paddy",2010,50432,867,61903
8870,France,Sorghum,2010,55112,867,61903
8871,France,Soybeans,2010,27495,867,61903
8872,France,Wheat,2010,70405,867,61903
8873,France,Maize,2011,99668,867,61039
8874,France,Potatoes,2011,468991,867,61039
8875,France,"Rice, paddy",2011,56263,867,61039
8876,France,Sorghum,2011,64627,867,61039
8877,France,Soybeans,2011,29473,867,61039
8878,France,Wheat,2011,66563,867,61039
8879,France,Maize,2012,90024,867,63547.59
8880,France,Potatoes,2012,413769,867,63547.59
8881,France,"Rice, paddy",2012,55947,867,63547.59
8882,France,Sorghum,2012,56861,867,63547.59
8883,France,Soybeans,2012,27815,867,63547.59
8884,France,Wheat,2012,71512,867,63547.59
8885,France,Maize,2013,81592,867,66497.29
8886,France,Potatoes,2013,431560,867,66497.29
8887,France,"Rice, paddy",2013,39400,867,66497.29
8888,France,Sorghum,2013,54344,867,66497.29
8889,France,Soybeans,2013,25599,867,66497.29
8890,France,Wheat,2013,72656,867,66497.29
8891,Germany,Maize,1990,67762,700,31289
8892,Germany,Maize,1990,67762,700,31289
8893,Germany,Maize,1990,67762,700,31289
8894,Germany,Potatoes,1990,257764,700,31289
8895,Germany,Potatoes,1990,257764,700,31289
8896,Germany,Potatoes,1990,257764,700,31289
8897,Germany,Soybeans,1990,19792,700,31289
8898,Germany,Soybeans,1990,19792,700,31289
8899,Germany,Soybeans,1990,19792,700,31289
8900,Germany,Wheat,1990,62734,700,31289
8901,Germany,Wheat,1990,62734,700,31289
8902,Germany,Wheat,1990,62734,700,31289
8903,Germany,Maize,1991,68432,700,32006
8904,Germany,Maize,1991,68432,700,32006
8905,Germany,Maize,1991,68432,700,32006
8906,Germany,Potatoes,1991,298464,700,32006
8907,Germany,Potatoes,1991,298464,700,32006
8908,Germany,Potatoes,1991,298464,700,32006
8909,Germany,Soybeans,1991,23917,700,32006
8910,Germany,Soybeans,1991,23917,700,32006
8911,Germany,Soybeans,1991,23917,700,32006
8912,Germany,Wheat,1991,67712,700,32006
8913,Germany,Wheat,1991,67712,700,32006
8914,Germany,Wheat,1991,67712,700,32006
8915,Germany,Maize,1992,72348,700,29542
8916,Germany,Maize,1992,72348,700,29542
8917,Germany,Maize,1992,72348,700,29542
8918,Germany,Potatoes,1992,301928,700,29542
8919,Germany,Potatoes,1992,301928,700,29542
8920,Germany,Potatoes,1992,301928,700,29542
8921,Germany,Soybeans,1992,30000,700,29542
8922,Germany,Soybeans,1992,30000,700,29542
8923,Germany,Soybeans,1992,30000,700,29542
8924,Germany,Wheat,1992,59811,700,29542
8925,Germany,Wheat,1992,59811,700,29542
8926,Germany,Wheat,1992,59811,700,29542
8927,Germany,Maize,1993,80227,700,25170
8928,Germany,Maize,1993,80227,700,25170
8929,Germany,Maize,1993,80227,700,25170
8930,Germany,Potatoes,1993,392539,700,25170
8931,Germany,Potatoes,1993,392539,700,25170
8932,Germany,Potatoes,1993,392539,700,25170
8933,Germany,Soybeans,1993,20000,700,25170
8934,Germany,Soybeans,1993,20000,700,25170
8935,Germany,Soybeans,1993,20000,700,25170
8936,Germany,Wheat,1993,65841,700,25170
8937,Germany,Wheat,1993,65841,700,25170
8938,Germany,Wheat,1993,65841,700,25170
8939,Germany,Maize,1994,70808,700,26330
8940,Germany,Maize,1994,70808,700,26330
8941,Germany,Maize,1994,70808,700,26330
8942,Germany,Potatoes,1994,329512,700,26330
8943,Germany,Potatoes,1994,329512,700,26330
8944,Germany,Potatoes,1994,329512,700,26330
8945,Germany,Soybeans,1994,20000,700,26330
8946,Germany,Soybeans,1994,20000,700,26330
8947,Germany,Soybeans,1994,20000,700,26330
8948,Germany,Wheat,1994,67684,700,26330
8949,Germany,Wheat,1994,67684,700,26330
8950,Germany,Wheat,1994,67684,700,26330
8951,Germany,Maize,1995,73664,700,30090
8952,Germany,Maize,1995,73664,700,30090
8953,Germany,Maize,1995,73664,700,30090
8954,Germany,Potatoes,1995,314059,700,30090
8955,Germany,Potatoes,1995,314059,700,30090
8956,Germany,Potatoes,1995,314059,700,30090
8957,Germany,Soybeans,1995,20587,700,30090
8958,Germany,Soybeans,1995,20587,700,30090
8959,Germany,Soybeans,1995,20587,700,30090
8960,Germany,Wheat,1995,68882,700,30090
8961,Germany,Wheat,1995,68882,700,30090
8962,Germany,Wheat,1995,68882,700,30090
8963,Germany,Maize,1996,78272,700,31683
8964,Germany,Maize,1996,78272,700,31683
8965,Germany,Maize,1996,78272,700,31683
8966,Germany,Potatoes,1996,390096,700,31683
8967,Germany,Potatoes,1996,390096,700,31683
8968,Germany,Potatoes,1996,390096,700,31683
8969,Germany,Soybeans,1996,20000,700,31683
8970,Germany,Soybeans,1996,20000,700,31683
8971,Germany,Soybeans,1996,20000,700,31683
8972,Germany,Wheat,1996,72932,700,31683
8973,Germany,Wheat,1996,72932,700,31683
8974,Germany,Wheat,1996,72932,700,31683
8975,Germany,Maize,1997,86577,700,30414
8976,Germany,Maize,1997,86577,700,30414
8977,Germany,Maize,1997,86577,700,30414
8978,Germany,Potatoes,1997,384055,700,30414
8979,Germany,Potatoes,1997,384055,700,30414
8980,Germany,Potatoes,1997,384055,700,30414
8981,Germany,Soybeans,1997,20000,700,30414
8982,Germany,Soybeans,1997,20000,700,30414
8983,Germany,Soybeans,1997,20000,700,30414
8984,Germany,Wheat,1997,72902,700,30414
8985,Germany,Wheat,1997,72902,700,30414
8986,Germany,Wheat,1997,72902,700,30414
8987,Germany,Maize,1998,81561,700,33377
8988,Germany,Maize,1998,81561,700,33377
8989,Germany,Maize,1998,81561,700,33377
8990,Germany,Potatoes,1998,381394,700,33377
8991,Germany,Potatoes,1998,381394,700,33377
8992,Germany,Potatoes,1998,381394,700,33377
8993,Germany,Soybeans,1998,21896,700,33377
8994,Germany,Soybeans,1998,21896,700,33377
8995,Germany,Soybeans,1998,21896,700,33377
8996,Germany,Wheat,1998,72035,700,33377
8997,Germany,Wheat,1998,72035,700,33377
8998,Germany,Wheat,1998,72035,700,33377
8999,Germany,Maize,1999,87850,700,30019
9000,Germany,Maize,1999,87850,700,30019
9001,Germany,Maize,1999,87850,700,30019
9002,Germany,Potatoes,1999,374989,700,30019
9003,Germany,Potatoes,1999,374989,700,30019
9004,Germany,Potatoes,1999,374989,700,30019
9005,Germany,Soybeans,1999,26010,700,30019
9006,Germany,Soybeans,1999,26010,700,30019
9007,Germany,Soybeans,1999,26010,700,30019
9008,Germany,Wheat,1999,75411,700,30019
9009,Germany,Wheat,1999,75411,700,30019
9010,Germany,Wheat,1999,75411,700,30019
9011,Germany,Maize,2000,92119,700,35273.17
9012,Germany,Maize,2000,92119,700,35273.17
9013,Germany,Maize,2000,92119,700,35273.17
9014,Germany,Potatoes,2000,433437,700,35273.17
9015,Germany,Potatoes,2000,433437,700,35273.17
9016,Germany,Potatoes,2000,433437,700,35273.17
9017,Germany,Soybeans,2000,20000,700,35273.17
9018,Germany,Soybeans,2000,20000,700,35273.17
9019,Germany,Soybeans,2000,20000,700,35273.17
9020,Germany,Wheat,2000,72826,700,35273.17
9021,Germany,Wheat,2000,72826,700,35273.17
9022,Germany,Wheat,2000,72826,700,35273.17
9023,Germany,Maize,2001,88376,700,33423.49
9024,Germany,Maize,2001,88376,700,33423.49
9025,Germany,Maize,2001,88376,700,33423.49
9026,Germany,Potatoes,2001,407758,700,33423.49
9027,Germany,Potatoes,2001,407758,700,33423.49
9028,Germany,Potatoes,2001,407758,700,33423.49
9029,Germany,Soybeans,2001,19584,700,33423.49
9030,Germany,Soybeans,2001,19584,700,33423.49
9031,Germany,Soybeans,2001,19584,700,33423.49
9032,Germany,Wheat,2001,78827,700,33423.49
9033,Germany,Wheat,2001,78827,700,33423.49
9034,Germany,Wheat,2001,78827,700,33423.49
9035,Germany,Maize,2002,93755,700,34431.72
9036,Germany,Maize,2002,93755,700,34431.72
9037,Germany,Maize,2002,93755,700,34431.72
9038,Germany,Potatoes,2002,391226,700,34431.72
9039,Germany,Potatoes,2002,391226,700,34431.72
9040,Germany,Potatoes,2002,391226,700,34431.72
9041,Germany,Soybeans,2002,15337,700,34431.72
9042,Germany,Soybeans,2002,15337,700,34431.72
9043,Germany,Soybeans,2002,15337,700,34431.72
9044,Germany,Wheat,2002,69056,700,34431.72
9045,Germany,Wheat,2002,69056,700,34431.72
9046,Germany,Wheat,2002,69056,700,34431.72
9047,Germany,Maize,2004,90966,700,34930.37
9048,Germany,Maize,2004,90966,700,34930.37
9049,Germany,Maize,2004,90966,700,34930.37
9050,Germany,Potatoes,2004,441756,700,34930.37
9051,Germany,Potatoes,2004,441756,700,34930.37
9052,Germany,Potatoes,2004,441756,700,34930.37
9053,Germany,Wheat,2004,81716,700,34930.37
9054,Germany,Wheat,2004,81716,700,34930.37
9055,Germany,Wheat,2004,81716,700,34930.37
9056,Germany,Maize,2005,92139,700,36386.27
9057,Germany,Maize,2005,92139,700,36386.27
9058,Germany,Maize,2005,92139,700,36386.27
9059,Germany,Potatoes,2005,419798,700,36386.27
9060,Germany,Potatoes,2005,419798,700,36386.27
9061,Germany,Potatoes,2005,419798,700,36386.27
9062,Germany,Wheat,2005,74651,700,36386.27
9063,Germany,Wheat,2005,74651,700,36386.27
9064,Germany,Wheat,2005,74651,700,36386.27
9065,Germany,Maize,2006,80307,700,38540.15
9066,Germany,Maize,2006,80307,700,38540.15
9067,Germany,Maize,2006,80307,700,38540.15
9068,Germany,Potatoes,2006,365680,700,38540.15
9069,Germany,Potatoes,2006,365680,700,38540.15
9070,Germany,Potatoes,2006,365680,700,38540.15
9071,Germany,Soybeans,2006,10000,700,38540.15
9072,Germany,Soybeans,2006,10000,700,38540.15
9073,Germany,Soybeans,2006,10000,700,38540.15
9074,Germany,Wheat,2006,72007,700,38540.15
9075,Germany,Wheat,2006,72007,700,38540.15
9076,Germany,Wheat,2006,72007,700,38540.15
9077,Germany,Maize,2007,94475,700,40740.64
9078,Germany,Maize,2007,94475,700,40740.64
9079,Germany,Maize,2007,94475,700,40740.64
9080,Germany,Potatoes,2007,423470,700,40740.64
9081,Germany,Potatoes,2007,423470,700,40740.64
